title,size(㎡),year,location,total price(万),price per square(元/㎡),block
双河南里,99.36,1999,观音寺-(大兴)双河南里,330,33212,观音寺
海子角西里,82.72,2000,观音寺-(大兴)海子角西里,249,30101,观音寺
绿色庄园,104.2,,观音寺-(大兴)海子角东里,285,27351,观音寺
观音寺南里,84.64,2005,观音寺-(大兴)观音寺南里,275,32490,观音寺
观音寺南里,130.04,2001,观音寺-(大兴)观音寺南里,411,31605,观音寺
观音寺小区,83.12,1994,观音寺-观音寺街20号,328,39461,观音寺
宇丰苑,86.75,2006,观音寺-大兴环岛京开高速东侧(大兴桥东南侧),318,36657,观音寺
观音寺新区,86.58,2003,观音寺-(大兴)观音寺北里,340,39270,观音寺
观音寺新区,184.45,2004,观音寺-(大兴)观音寺北里,510,27649,观音寺
观音寺南里,78.88,1995,观音寺-(大兴)观音寺南里,248,31440,观音寺
双河南里,75.74,1997,观音寺-(大兴)双河南里,205,27066,观音寺
观音寺小区,70.65,1995,观音寺-观音寺街20号,255,36093,观音寺
观音寺南里,83.15,1996,观音寺-(大兴)观音寺南里,256,30787,观音寺
观音寺南里,71.2,1995,观音寺-(大兴)观音寺南里,226,31741,观音寺
观音寺新区,156.97,2002,观音寺-(大兴)观音寺北里,599,38160,观音寺
观音寺新区,156.97,2010,观音寺-(大兴)观音寺北里,588,37459,观音寺
观音寺南里,130.04,2001,观音寺-(大兴)观音寺南里,411,31605,观音寺
双河南里,80.6,1998,观音寺-(大兴)双河南里,258,32009,观音寺
观音寺南里,73.45,1996,观音寺-(大兴)观音寺南里,213,28999,观音寺
海悦公馆,81.43,2014,观音寺-京开高速与黄马路交叉口东南角,310,38069,观音寺
海子角南里,77.75,2001,观音寺-(大兴)海子角南里,188,24180,观音寺
观音寺小区,70.65,2006,观音寺-观音寺街20号,218,30856,观音寺
观音寺新区,123.06,2001,观音寺-(大兴)观音寺北里,430,34942,观音寺
观音寺新区,150.91,2002,观音寺-(大兴)观音寺北里,570,37770,观音寺
观音寺小区,85.18,2006,观音寺-观音寺街20号,298,34984,观音寺
海悦公馆,81.43,2014,观音寺-京开高速与黄马路交叉口东南角,310,38069,观音寺
海子角南里,90.32,2006,观音寺-(大兴)海子角南里,232,25686,观音寺
海子角南里,74.27,1998,观音寺-(大兴)海子角南里,185,24909,观音寺
海子角南里,77.75,2006,观音寺-(大兴)海子角南里,190,24437,观音寺
观音寺北里,69.29,1998,观音寺-(大兴)观音寺北里,225,32472,观音寺
观音寺小区,68.79,1997,观音寺-观音寺街20号,219,31836,观音寺
观音寺北里,69.47,1998,观音寺-(大兴)观音寺北里,189,27205,观音寺
观音寺新区,104.17,2003,观音寺-(大兴)观音寺北里,368,35326,观音寺
辛店小区,73.93,2006,"观音寺-大兴黄村海子角南,黄徐路东侧",209,28269,观音寺
宇丰苑,86.75,2006,观音寺-大兴环岛京开高速东侧(大兴桥东南侧),318,36657,观音寺
海子角南里,77.75,2001,观音寺-(大兴)海子角南里,195,25080,观音寺
观音寺新区,150.91,2002,观音寺-(大兴)观音寺北里,570,37770,观音寺
观音寺南里,130.04,2001,观音寺-(大兴)观音寺南里,411,31605,观音寺
观音寺新区,86.58,2005,观音寺-(大兴)观音寺北里,370,42735,观音寺
观音寺南里,130.04,2001,观音寺-(大兴)观音寺南里,405,31144,观音寺
观音寺小区,70.65,1995,观音寺-观音寺街20号,255,36093,观音寺
海子角南里,77,1995,观音寺-(大兴)海子角南里,220,28571,观音寺
绿色庄园,207.33,2003,观音寺-(大兴)海子角东里,650,31350,观音寺
海子角南里,79.69,1998,观音寺-(大兴)海子角南里,200,25097,观音寺
海子角东里,81.79,1996,观音寺-(大兴)海子角东里,234,28609,观音寺
海子角南里,73.25,1998,观音寺-(大兴)海子角南里,240,32764,观音寺
观音寺南里,70.93,1996,观音寺-(大兴)观音寺南里,235,33131,观音寺
观音寺小区,68.79,1996,观音寺-观音寺街20号,235,34161,观音寺
观音寺小区,70.65,1995,观音寺-观音寺街20号,193,27317,观音寺
观音寺小区,71.9,1996,观音寺-观音寺街20号,245,34075,观音寺
双河南里尚城,80.87,2013,观音寺-观音寺街道团河路双河南里尚城,329,40682,观音寺
海子角小区,87.96,1996,观音寺-大兴环岛向东100米友爱医院旁边,278,31605,观音寺
观音寺南里,68.15,1995,观音寺-(大兴)观音寺南里,205,30080,观音寺
观音寺南里,70.93,1998,观音寺-(大兴)观音寺南里,230,32426,观音寺
绿色庄园,90.81,2003,观音寺-(大兴)海子角东里,313,34467,观音寺
海子角南里,77.75,1996,观音寺-(大兴)海子角南里,190,24437,观音寺
观音寺北里,92.16,2000,观音寺-(大兴)观音寺北里,255,27669,观音寺
观音寺小区,70.65,1995,观音寺-观音寺街20号,220,31139,观音寺
双河南里,86.67,1996,观音寺-(大兴)双河南里,249,28729,观音寺
绿色庄园,90.81,2003,观音寺-(大兴)海子角东里,313,34467,观音寺
观音寺北里,83.51,2007,观音寺-(大兴)观音寺北里,245,29337,观音寺
观音寺新区,123.06,2002,观音寺-(大兴)观音寺北里,420,34129,观音寺
海子角西里,63.65,1996,观音寺-(大兴)海子角西里,210,32992,观音寺
海子角西里,65.98,1996,观音寺-(大兴)海子角西里,198,30009,观音寺
绿色庄园,90.81,2003,观音寺-(大兴)海子角东里,313,34467,观音寺
观音寺新区,124.65,2002,观音寺-(大兴)观音寺北里,450,36101,观音寺
观音寺南里,73.45,1998,观音寺-(大兴)观音寺南里,228,31041,观音寺
海子角西里,83.34,1996,观音寺-(大兴)海子角西里,245,29397,观音寺
观音寺新区,123.06,2002,观音寺-(大兴)观音寺北里,420,34129,观音寺
观音寺北里,87.42,2000,观音寺-(大兴)观音寺北里,260,29741,观音寺
海子角小区,93.88,1997,观音寺-大兴环岛向东100米友爱医院旁边,260,27694,观音寺
绿色庄园,135.19,2004,观音寺-(大兴)海子角东里,480,35505,观音寺
海子角西里,124.29,2002,观音寺-(大兴)海子角西里,350,28159,观音寺
